content,score,at,cleaning,case_folding,normalisasi,Performa_Aplikasi,Pemesanan_Tiket,Operasional_Perjalanan,Layanan_Akun,_key,Sentimen
heh!!! kenapaa muka gue ga bisa didaftarin sii 😭😭😭😭,3,2026-07-30 03:15:04,heh kenapaa muka gue ga bisa didaftarin sii,heh kenapaa muka gue ga bisa didaftarin sii,heh kenapaa muka gue tidak bisa didaftarin sii,1,0,0,0,heh!!! kenapaa muka gue ga bisa didaftarin sii 😭😭😭😭||heh kenapaa muka gue tidak bisa didaftarin sii,negatif
puas,5,2026-07-30 03:00:11,puas,puas,puas,0,0,0,0,puas||puas,positif
sip mudah,4,2026-07-30 02:54:58,sip mudah,sip mudah,sip mudah,0,0,0,0,sip mudah||sip mudah,positif
ok,4,2026-07-30 01:45:53,ok,ok,ok,0,0,0,0,ok||ok,netral
good,5,2026-07-30 01:40:51,good,good,good,0,0,0,0,good||good,positif
pemesan tiket lewat accessby kai sangat praktis dan sangat membantu,5,2026-07-30 01:38:27,pemesan tiket lewat accessby kai sangat praktis dan sangat membantu,pemesan tiket lewat accessby kai sangat praktis dan sangat membantu,pemesan tiket lewat accessby kai sangat praktis dan sangat membantu,0,1,0,0,pemesan tiket lewat accessby kai sangat praktis dan sangat membantu||pemesan tiket lewat accessby kai sangat praktis dan sangat membantu,positif
sangat membantu,5,2026-07-29 19:49:49,sangat membantu,sangat membantu,sangat membantu,0,0,0,0,sangat membantu||sangat membantu,positif
"pengennya lebih mudah dalam pembelian tiket kereta api, tapi yang didapat malah pusing waktu pembuatan akun s/d pemesanan. setahuku dulu aplikasinya mudah, tapi kenapa aplikasi baru malah merepotkan",1,2026-07-29 13:02:32,pengennya lebih mudah dalam pembelian tiket kereta api tapi yang didapat malah pusing waktu pembuatan akun s d pemesanan setahuku dulu aplikasinya mudah tapi kenapa aplikasi baru malah merepotkan,pengennya lebih mudah dalam pembelian tiket kereta api tapi yang didapat malah pusing waktu pembuatan akun s d pemesanan setahuku dulu aplikasinya mudah tapi kenapa aplikasi baru malah merepotkan,pengennya lebih mudah dalam pembelian tiket kereta api tapi yang didapat malah pusing waktu pembuatan akun s d pemesanan setahuku dulu aplikasinya mudah tapi kenapa aplikasi baru malah merepotkan,0,1,1,1,"pengennya lebih mudah dalam pembelian tiket kereta api, tapi yang didapat malah pusing waktu pembuatan akun s/d pemesanan. setahuku dulu aplikasinya mudah, tapi kenapa aplikasi baru malah merepotkan||pengennya lebih mudah dalam pembelian tiket kereta api tapi yang didapat malah pusing waktu pembuatan akun s d pemesanan setahuku dulu aplikasinya mudah tapi kenapa aplikasi baru malah merepotkan",negatif
"versi terbaru kenapa tiap habis isi data selalu ""no matching property ID"" terus ya? sampai harus ulang 12x baru bisa. sering update kirain bakalan makin bagus malah makin eror",2,2026-07-29 11:57:10,versi terbaru kenapa tiap habis isi data selalu no matching property ID terus ya sampai harus ulang x baru bisa sering update kirain bakalan makin bagus malah makin eror,versi terbaru kenapa tiap habis isi data selalu no matching property id terus ya sampai harus ulang x baru bisa sering update kirain bakalan makin bagus malah makin eror,versi terbaru kenapa tiap habis isi data selalu no matching property id terus ya sampai harus ulang x baru bisa sering update kirain bakalan makin bagus malah makin eror,1,0,0,0,"versi terbaru kenapa tiap habis isi data selalu ""no matching property ID"" terus ya? sampai harus ulang 12x baru bisa. sering update kirain bakalan makin bagus malah makin eror||versi terbaru kenapa tiap habis isi data selalu no matching property id terus ya sampai harus ulang x baru bisa sering update kirain bakalan makin bagus malah makin eror",negatif
ok,5,2026-07-29 10:54:15,ok,ok,ok,0,0,0,0,ok||ok,netral
ok,5,2026-07-29 10:40:05,ok,ok,ok,0,0,0,0,ok||ok,netral
lbih simple dan praktisi,5,2026-07-29 08:37:17,lbih simple dan praktisi,lbih simple dan praktisi,lbih simple dan praktisi,0,0,0,0,lbih simple dan praktisi||lbih simple dan praktisi,positif
lebih mudah pesan tiket kereta,5,2026-07-29 08:25:37,lebih mudah pesan tiket kereta,lebih mudah pesan tiket kereta,lebih mudah pesan tiket kereta,0,1,1,0,lebih mudah pesan tiket kereta||lebih mudah pesan tiket kereta,netral
"ok, sukses selalu",5,2026-07-29 04:40:16,ok sukses selalu,ok sukses selalu,ok sukses selalu,0,0,0,0,"ok, sukses selalu||ok sukses selalu",netral
hmm sangat sangat lelet.erroor,3,2026-07-29 04:24:57,hmm sangat sangat lelet erroor,hmm sangat sangat lelet erroor,hmm sangat sangat lelet erroor,0,0,0,0,hmm sangat sangat lelet.erroor||hmm sangat sangat lelet erroor,negatif
"Kenapa aplikasinya lemot? Saat masukkan data penumpang pasti LAG, berhenti. Kadang bisa masuk, saat pilih kursi, macet lagi.... Info : aplikasi sudah update terbaru. Kenapa ya Min? Tetap sya kasih bintang 5",5,2026-07-29 03:59:35,Kenapa aplikasinya lemot Saat masukkan data penumpang pasti LAG berhenti Kadang bisa masuk saat pilih kursi macet lagi Info aplikasi sudah update terbaru Kenapa ya Min Tetap sya kasih bintang,kenapa aplikasinya lemot saat masukkan data penumpang pasti lag berhenti kadang bisa masuk saat pilih kursi macet lagi info aplikasi sudah update terbaru kenapa ya min tetap sya kasih bintang,kenapa aplikasinya lemot saat masukkan data penumpang pasti lag berhenti kadang bisa masuk saat pilih kursi macet lagi info aplikasi sudah update terbaru kenapa ya min tetap sya kasih bintang,1,1,0,0,"Kenapa aplikasinya lemot? Saat masukkan data penumpang pasti LAG, berhenti. Kadang bisa masuk, saat pilih kursi, macet lagi.... Info : aplikasi sudah update terbaru. Kenapa ya Min? Tetap sya kasih bintang 5||kenapa aplikasinya lemot saat masukkan data penumpang pasti lag berhenti kadang bisa masuk saat pilih kursi macet lagi info aplikasi sudah update terbaru kenapa ya min tetap sya kasih bintang",negatif
mantappp,5,2026-07-29 03:14:46,mantappp,mantappp,mantappp,0,0,0,0,mantappp||mantappp,positif
gimana sih nyari stasiun terdekat gak ada. padahal biasanya ada. dan itu stasiun gede. jatinegara n bekasi,1,2026-07-29 03:13:38,gimana sih nyari stasiun terdekat gak ada padahal biasanya ada dan itu stasiun gede jatinegara n bekasi,gimana sih nyari stasiun terdekat gak ada padahal biasanya ada dan itu stasiun gede jatinegara n bekasi,gimana sih nyari stasiun terdekat tidak ada padahal biasanya ada dan itu stasiun gede jatinegara n bekasi,0,0,1,0,gimana sih nyari stasiun terdekat gak ada. padahal biasanya ada. dan itu stasiun gede. jatinegara n bekasi||gimana sih nyari stasiun terdekat tidak ada padahal biasanya ada dan itu stasiun gede jatinegara n bekasi,negatif
ok,5,2026-07-29 01:14:36,ok,ok,ok,0,0,0,0,ok||ok,netral
"untuk sekarang saya kasih b1 alasannya saya berangkat dari stasiun waru ,lalu saya tanya orang yg g kebagian duduk pesan dari hari yang lalu, tolong investigasi lebih teliti lagi terima kasih",1,2026-07-29 00:17:07,untuk sekarang saya kasih b alasannya saya berangkat dari stasiun waru lalu saya tanya orang yg g kebagian duduk pesan dari hari yang lalu tolong investigasi lebih teliti lagi terima kasih,untuk sekarang saya kasih b alasannya saya berangkat dari stasiun waru lalu saya tanya orang yg g kebagian duduk pesan dari hari yang lalu tolong investigasi lebih teliti lagi terima kasih,untuk sekarang saya kasih b alasannya saya berangkat dari stasiun waru lalu saya tanya orang yang g kebagian duduk pesan dari hari yang lalu tolong investigasi lebih teliti lagi terima kasih,1,1,1,0,"untuk sekarang saya kasih b1 alasannya saya berangkat dari stasiun waru ,lalu saya tanya orang yg g kebagian duduk pesan dari hari yang lalu, tolong investigasi lebih teliti lagi terima kasih||untuk sekarang saya kasih b alasannya saya berangkat dari stasiun waru lalu saya tanya orang yang g kebagian duduk pesan dari hari yang lalu tolong investigasi lebih teliti lagi terima kasih",negatif
"mau batalin boking aja susah bgt di suruh masukin kode sesuai yg di kirim di email, sudah di isi sesuai tp katanya kode salah dan tidak sesuai anehh binti anehhh",1,2026-07-28 23:37:39,mau batalin boking aja susah bgt di suruh masukin kode sesuai yg di kirim di email sudah di isi sesuai tp katanya kode salah dan tidak sesuai anehh binti anehhh,mau batalin boking aja susah bgt di suruh masukin kode sesuai yg di kirim di email sudah di isi sesuai tp katanya kode salah dan tidak sesuai anehh binti anehhh,mau batalin boking saja susah banget di suruh masukin kode sesuai yang di kirim di email sudah di isi sesuai tp katanya kode salah dan tidak sesuai anehh binti anehhh,0,0,0,1,"mau batalin boking aja susah bgt di suruh masukin kode sesuai yg di kirim di email, sudah di isi sesuai tp katanya kode salah dan tidak sesuai anehh binti anehhh||mau batalin boking saja susah banget di suruh masukin kode sesuai yang di kirim di email sudah di isi sesuai tp katanya kode salah dan tidak sesuai anehh binti anehhh",negatif
pelayanan tepat waktu,3,2026-07-28 22:14:43,pelayanan tepat waktu,pelayanan tepat waktu,pelayanan tepat waktu,0,0,0,0,pelayanan tepat waktu||pelayanan tepat waktu,positif
"simpel, mudah, praktis",5,2026-07-28 18:49:27,simpel mudah praktis,simpel mudah praktis,simpel mudah praktis,0,0,0,0,"simpel, mudah, praktis||simpel mudah praktis",positif
ok,4,2026-07-28 17:28:26,ok,ok,ok,0,0,0,0,ok||ok,netral
"biaya pembatalan sebaiknya dikurang biar tidak terlalu besar, mungkin saja calon penumpang juga membatalkan karena alasan mendesak/terpaksa.",4,2026-07-28 15:55:46,biaya pembatalan sebaiknya dikurang biar tidak terlalu besar mungkin saja calon penumpang juga membatalkan karena alasan mendesak terpaksa,biaya pembatalan sebaiknya dikurang biar tidak terlalu besar mungkin saja calon penumpang juga membatalkan karena alasan mendesak terpaksa,biaya pembatalan sebaiknya dikurang biar tidak terlalu besar mungkin saja calon penumpang juga membatalkan karena alasan mendesak terpaksa,0,0,0,0,"biaya pembatalan sebaiknya dikurang biar tidak terlalu besar, mungkin saja calon penumpang juga membatalkan karena alasan mendesak/terpaksa.||biaya pembatalan sebaiknya dikurang biar tidak terlalu besar mungkin saja calon penumpang juga membatalkan karena alasan mendesak terpaksa",netral
cara pembayaran ribet tak bisa lagi pilih kursi,1,2026-07-28 14:45:32,cara pembayaran ribet tak bisa lagi pilih kursi,cara pembayaran ribet tak bisa lagi pilih kursi,cara pembayaran ribet tak bisa lagi pilih kursi,1,1,0,0,cara pembayaran ribet tak bisa lagi pilih kursi||cara pembayaran ribet tak bisa lagi pilih kursi,negatif
"Ini fiilternya gak jalan dipencet berkali2 baru jalan, eh malah kepencet tiket",1,2026-07-28 13:51:02,Ini fiilternya gak jalan dipencet berkali baru jalan eh malah kepencet tiket,ini fiilternya gak jalan dipencet berkali baru jalan eh malah kepencet tiket,ini fiilternya tidak jalan dipencet berkali baru jalan eh malah kepencet tiket,0,1,0,0,"Ini fiilternya gak jalan dipencet berkali2 baru jalan, eh malah kepencet tiket||ini fiilternya tidak jalan dipencet berkali baru jalan eh malah kepencet tiket",negatif
mantap,5,2026-07-28 09:54:03,mantap,mantap,mantap,0,0,0,0,mantap||mantap,positif
ok bgt,5,2026-07-28 09:04:13,ok bgt,ok bgt,ok banget,0,0,0,0,ok bgt||ok banget,positif
"Tampilannya rapi, modern, dan mudah dipahami. Proses registrasinya juga terlihat sederhana. Semoga performanya lancar dan terus menghadirkan fitur-fitur yang bermanfaat.",5,2026-07-28 08:54:26,Tampilannya rapi modern dan mudah dipahami Proses registrasinya juga terlihat sederhana Semoga performanya lancar dan terus menghadirkan fitur fitur yang bermanfaat,tampilannya rapi modern dan mudah dipahami proses registrasinya juga terlihat sederhana semoga performanya lancar dan terus menghadirkan fitur fitur yang bermanfaat,tampilannya rapi modern dan mudah dipahami proses registrasinya juga terlihat sederhana semoga performanya lancar dan terus menghadirkan fitur fitur yang bermanfaat,0,0,0,0,"Tampilannya rapi, modern, dan mudah dipahami. Proses registrasinya juga terlihat sederhana. Semoga performanya lancar dan terus menghadirkan fitur-fitur yang bermanfaat.||tampilannya rapi modern dan mudah dipahami proses registrasinya juga terlihat sederhana semoga performanya lancar dan terus menghadirkan fitur fitur yang bermanfaat",positif
"pembayaran via QRIS nya jangan bermasalah lah, saya hampir ga pulang",3,2026-07-28 08:31:59,pembayaran via QRIS nya jangan bermasalah lah saya hampir ga pulang,pembayaran via qris nya jangan bermasalah lah saya hampir ga pulang,pembayaran via qris nya jangan bermasalah lah saya hampir tidak pulang,0,1,0,0,"pembayaran via QRIS nya jangan bermasalah lah, saya hampir ga pulang||pembayaran via qris nya jangan bermasalah lah saya hampir tidak pulang",negatif
Tolong Tampilkan Semua Kereta Yg bisa Di Naiki Di Stasiun Tersebut.,4,2026-07-28 06:54:44,Tolong Tampilkan Semua Kereta Yg bisa Di Naiki Di Stasiun Tersebut,tolong tampilkan semua kereta yg bisa di naiki di stasiun tersebut,tolong tampilkan semua kereta yang bisa di naiki di stasiun tersebut,0,0,1,0,Tolong Tampilkan Semua Kereta Yg bisa Di Naiki Di Stasiun Tersebut.||tolong tampilkan semua kereta yang bisa di naiki di stasiun tersebut,netral
👍,5,2026-07-28 06:45:42,,,,0,0,0,0,👍||,netral
"banyak bug, mau bayar make qris ga mau nunjukin qr",1,2026-07-28 06:24:31,banyak bug mau bayar make qris ga mau nunjukin qr,banyak bug mau bayar make qris ga mau nunjukin qr,banyak bug mau bayar make qris tidak mau nunjukin qr,1,1,0,0,"banyak bug, mau bayar make qris ga mau nunjukin qr||banyak bug mau bayar make qris tidak mau nunjukin qr",negatif
nice app,5,2026-07-28 06:10:51,nice app,nice app,nice app,0,0,0,0,nice app||nice app,positif
"Oke, mudah pakainya",4,2026-07-28 03:57:29,Oke mudah pakainya,oke mudah pakainya,oke mudah pakainya,0,0,0,0,"Oke, mudah pakainya||oke mudah pakainya",positif
bagus,5,2026-07-28 03:04:04,bagus,bagus,bagus,0,0,0,0,bagus||bagus,positif
mantapppp,5,2026-07-28 02:43:01,mantapppp,mantapppp,mantapppp,0,0,0,0,mantapppp||mantapppp,positif
ok,5,2026-07-28 00:51:19,ok,ok,ok,0,0,0,0,ok||ok,netral
pelayanan bagus sekali,5,2026-07-28 00:03:07,pelayanan bagus sekali,pelayanan bagus sekali,pelayanan bagus sekali,0,0,0,0,pelayanan bagus sekali||pelayanan bagus sekali,positif
puas,5,2026-07-27 23:58:54,puas,puas,puas,0,0,0,0,puas||puas,positif
good,5,2026-07-27 23:31:23,good,good,good,0,0,0,0,good||good,positif
bagus cepat,5,2026-07-27 22:57:07,bagus cepat,bagus cepat,bagus cepat,0,0,0,0,bagus cepat||bagus cepat,positif
"aplikasi untuk pembatalan selalu tidak berfungsi, perbaiki deh dengan benar, seakan akan menahan uang penumpang. kacau mania",1,2026-07-27 22:34:04,aplikasi untuk pembatalan selalu tidak berfungsi perbaiki deh dengan benar seakan akan menahan uang penumpang kacau mania,aplikasi untuk pembatalan selalu tidak berfungsi perbaiki deh dengan benar seakan akan menahan uang penumpang kacau mania,aplikasi untuk pembatalan selalu tidak berfungsi perbaiki deh dengan benar seakan akan menahan uang penumpang kacau mania,0,0,0,0,"aplikasi untuk pembatalan selalu tidak berfungsi, perbaiki deh dengan benar, seakan akan menahan uang penumpang. kacau mania||aplikasi untuk pembatalan selalu tidak berfungsi perbaiki deh dengan benar seakan akan menahan uang penumpang kacau mania",negatif
mantabek,4,2026-07-27 22:16:53,mantabek,mantabek,mantabek,0,0,0,0,mantabek||mantabek,positif
"Tidak ada keterangan kereta new atau tidak, pembayaran menggunakan kartu kredit sulit",3,2026-07-27 15:39:31,Tidak ada keterangan kereta new atau tidak pembayaran menggunakan kartu kredit sulit,tidak ada keterangan kereta new atau tidak pembayaran menggunakan kartu kredit sulit,tidak ada keterangan kereta new atau tidak pembayaran menggunakan kartu kredit sulit,0,1,1,0,"Tidak ada keterangan kereta new atau tidak, pembayaran menggunakan kartu kredit sulit||tidak ada keterangan kereta new atau tidak pembayaran menggunakan kartu kredit sulit",negatif
good,5,2026-07-27 11:09:59,good,good,good,0,0,0,0,good||good,positif
ga bisa ulgrade basic,1,2026-07-27 10:10:12,ga bisa ulgrade basic,ga bisa ulgrade basic,tidak bisa ulgrade basic,1,0,0,0,ga bisa ulgrade basic||tidak bisa ulgrade basic,negatif
baik cepat dan mempermudah,5,2026-07-27 09:42:57,baik cepat dan mempermudah,baik cepat dan mempermudah,baik cepat dan mempermudah,0,0,0,0,baik cepat dan mempermudah||baik cepat dan mempermudah,positif
top,1,2026-07-27 09:13:20,top,top,top,0,0,0,0,top||top,netral
aplikasi yg bagus,5,2026-07-27 07:04:38,aplikasi yg bagus,aplikasi yg bagus,aplikasi yang bagus,0,0,0,0,aplikasi yg bagus||aplikasi yang bagus,positif
"kenapa hp saya tidak bisa instal apk ini pdahal hpku android 12 kalau yg versi sebelumnya bisa, KENAPA YACH?",5,2026-07-27 06:47:02,kenapa hp saya tidak bisa instal apk ini pdahal hpku android kalau yg versi sebelumnya bisa KENAPA YACH,kenapa hp saya tidak bisa instal apk ini pdahal hpku android kalau yg versi sebelumnya bisa kenapa yach,kenapa hp saya tidak bisa instal aplikasi ini pdahal hpku android kalau yang versi sebelumnya bisa kenapa yach,1,0,0,0,"kenapa hp saya tidak bisa instal apk ini pdahal hpku android 12 kalau yg versi sebelumnya bisa, KENAPA YACH?||kenapa hp saya tidak bisa instal aplikasi ini pdahal hpku android kalau yang versi sebelumnya bisa kenapa yach",negatif
sangat bagus,5,2026-07-27 04:47:59,sangat bagus,sangat bagus,sangat bagus,0,0,0,0,sangat bagus||sangat bagus,positif
"padahal beli tiket sudah ada asuransi dan tertera keterangan bisa refund 100%, ternyata refund ga penuh seperti klausul, refund/reschedule tiket kena potong 25%. harusnya terus terang aja jangan nipu konsumen dong,,ok!",1,2026-07-27 03:23:11,padahal beli tiket sudah ada asuransi dan tertera keterangan bisa refund ternyata refund ga penuh seperti klausul refund reschedule tiket kena potong harusnya terus terang aja jangan nipu konsumen dong ok,padahal beli tiket sudah ada asuransi dan tertera keterangan bisa refund ternyata refund ga penuh seperti klausul refund reschedule tiket kena potong harusnya terus terang aja jangan nipu konsumen dong ok,padahal beli tiket sudah ada asuransi dan tertera keterangan bisa refund ternyata refund tidak penuh seperti klausul refund reschedule tiket kena potong harusnya terus terang saja jangan nipu konsumen dong ok,0,1,0,0,"padahal beli tiket sudah ada asuransi dan tertera keterangan bisa refund 100%, ternyata refund ga penuh seperti klausul, refund/reschedule tiket kena potong 25%. harusnya terus terang aja jangan nipu konsumen dong,,ok!||padahal beli tiket sudah ada asuransi dan tertera keterangan bisa refund ternyata refund tidak penuh seperti klausul refund reschedule tiket kena potong harusnya terus terang saja jangan nipu konsumen dong ok",negatif
good,5,2026-07-27 03:02:31,good,good,good,0,0,0,0,good||good,positif
syok bgt si pertama kali unduh aplikasi ini tapi ternyata info pak okin nomor hp saya sudah terdaftar dengan data orang lain. tidak ada solusi.,1,2026-07-27 03:00:12,syok bgt si pertama kali unduh aplikasi ini tapi ternyata info pak okin nomor hp saya sudah terdaftar dengan data orang lain tidak ada solusi,syok bgt si pertama kali unduh aplikasi ini tapi ternyata info pak okin nomor hp saya sudah terdaftar dengan data orang lain tidak ada solusi,syok banget si pertama kali unduh aplikasi ini tapi ternyata info pak okin nomor hp saya sudah terdaftar dengan data orang lain tidak ada solusi,0,0,0,0,syok bgt si pertama kali unduh aplikasi ini tapi ternyata info pak okin nomor hp saya sudah terdaftar dengan data orang lain. tidak ada solusi.||syok banget si pertama kali unduh aplikasi ini tapi ternyata info pak okin nomor hp saya sudah terdaftar dengan data orang lain tidak ada solusi,negatif
mantap,5,2026-07-27 02:56:05,mantap,mantap,mantap,0,0,0,0,mantap||mantap,positif
Bagus dan Mantap,5,2026-07-27 02:01:33,Bagus dan Mantap,bagus dan mantap,bagus dan mantap,0,0,0,0,Bagus dan Mantap||bagus dan mantap,positif
"Duit Milyaran cuma bisa bikin aplikasi banyak bug gini,memang IT BUMN gak becus semua. efek kerja bawaan akhirnya tidak kompeten",1,2026-07-27 01:14:05,Duit Milyaran cuma bisa bikin aplikasi banyak bug gini memang IT BUMN gak becus semua efek kerja bawaan akhirnya tidak kompeten,duit milyaran cuma bisa bikin aplikasi banyak bug gini memang it bumn gak becus semua efek kerja bawaan akhirnya tidak kompeten,duit milyaran cuma bisa bikin aplikasi banyak bug gini memang it bumn tidak becus semua efek kerja bawaan akhirnya tidak kompeten,1,0,0,0,"Duit Milyaran cuma bisa bikin aplikasi banyak bug gini,memang IT BUMN gak becus semua. efek kerja bawaan akhirnya tidak kompeten||duit milyaran cuma bisa bikin aplikasi banyak bug gini memang it bumn tidak becus semua efek kerja bawaan akhirnya tidak kompeten",negatif
oke,5,2026-07-26 18:26:00,oke,oke,oke,0,0,0,0,oke||oke,netral
TOP BGT,5,2026-07-26 15:44:48,TOP BGT,top bgt,top banget,0,0,0,0,TOP BGT||top banget,positif
mudah dan cepat,5,2026-07-26 14:30:09,mudah dan cepat,mudah dan cepat,mudah dan cepat,0,0,0,0,mudah dan cepat||mudah dan cepat,positif
gut,5,2026-07-26 13:48:47,gut,gut,gut,0,0,0,0,gut||gut,netral
terbaikk,5,2026-07-26 10:32:21,terbaikk,terbaikk,terbaikk,0,0,0,0,terbaikk||terbaikk,positif
bagus,5,2026-07-26 09:18:03,bagus,bagus,bagus,0,0,0,0,bagus||bagus,positif
mantap,5,2026-07-26 08:06:21,mantap,mantap,mantap,0,0,0,0,mantap||mantap,positif
